position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Laurentino Cortizo,Q28122455,2019-07-01,male,1953-01-30,,Laurentino Cortizo (cropped).jpg,Laurentino Cortizo
Vice President,José Gabriel Carrizo,Q63633749,2019-07-01,male,1983,,José Gabriel Carrizo.jpg,Jose Gabriel Carrizo
Minister of Agricultural Development,Augusto Valderrama,Q110628764,2019-07-01,,,,,
Minister for Canal Affairs,Arístides Royo,Q665630,2019-07-01,male,1940-08-14,,Aristides Royo (6713987733) (cropped).jpg,Aristides Royo
Minister of Commerce and Industries,Ramón Martínez de la Guardia,Q110628731,2019-07-01,,,,,
Minister of Economy and Finance,Héctor Alexander,Q110628776,2019-07-01,male,1943-04-09,,,
Minister of Education,Maruja Gorday de Villalobos,Q64374205,2019-07-01,female,1962-08-22,,,
Minister of the Environment,Milciades Concepción,Q96066480,2019-07-01,male,1955-01-08,,,
Minister of Foreign Affairs,Erika Mouynes,Q105724712,2020-12-02,female,1977-11-24,,"Secretary Blinken Meets With Costa Rican Foreign Minister Solano, Dominican Republic Foreign Minister Álvarez, and Panamanian Foreign Minister Mouynes (51914237913) (cropped).jpg",Erika Mouynes
Minister of Government,Janaina Tewaney,Q96182040,2020-02-06,female,1984-07-14,,,Janaina Tewaney
Minister of Health,Luis Francisco Sucre,Q95807201,2020-06-01,male,1967-10-25,,"Luis Francisco Sucre, Minister of Health of Panama (cropped).jpg",
Minister of Housing and Land Management,Rogelio Paredes,Q110628751,2020-06-24,male,1957-08-17,,,
Minister of Labour,Doris Zapata,Q110628727,2019-07-01,female,1972-08-02,,,
Minister of the Presidency,José Gabriel Carrizo,Q63633749,2019-07-01,male,1983,,José Gabriel Carrizo.jpg,Jose Gabriel Carrizo
Minister of Public Security,Juan Pino,Q110628794,2020-02-05,male,,,,
Minister of Public Works,Rafael Sabonge,Q100351071,2019-07-01,male,1978-10-09,,Ministro en consejo gabinete.jpg,
Minister of Social Development,María Inés Castillo,Q110628773,2020-06-24,female,,,,
Speaker of the National Assembly,Crispiano Adames,Q110628932,2021-07-01,male,1961,,,
